SK_ID_CURR,TARGET
280139,1
284067,1
213484,0
430855,1
342521,0
233048,0
441011,1
207597,1
282567,0
314049,0
192841,1
435619,1
235324,0
220460,1
202287,0
374554,1
378503,0
271271,1
306108,1
180706,1
199012,1
119706,0
298071,1
234274,1
320215,1
175482,1
291853,1
323914,0
197371,1
216712,1
394121,0
139133,1
240016,1
220145,1
339375,1
319844,1
283378,1
324408,0
129498,0
265318,1
251641,0
434662,1
199612,1
135676,1
200346,1
264801,1
226143,0
225885,1
405834,1
325226,0
129996,1
416058,1
414457,0
309607,1
205040,1
298971,1
381693,1
364939,0
362006,1
385952,1
340684,0
246556,0
291459,1
441444,1
336270,0
439018,1
216897,0
267876,0
324584,0
383697,1
136682,0
134917,1
219160,0
202872,1
405390,1
406844,1
111802,1
114638,0
368321,1
213581,0
233746,0
163956,1
234410,0
244747,1
209637,0
161488,1
322501,1
356890,1
334611,0
180335,0
297846,1
313185,1
144338,0
214300,1
251683,1
191146,0
272107,1
308897,1
226981,1
445461,1
395458,0
334981,0
168353,1
381502,0
416378,0
218533,1
400674,0
108434,1
300329,1
156481,0
376299,0
327149,0
347636,0
195650,1
340139,0
419431,0
413261,0
144785,1
131857,0
134502,1
244129,1
235309,1
325246,0
325989,1
176238,0
194831,1
421477,1
363605,1
189514,1
140667,1
123100,1
281760,1
334924,0
257505,0
396309,1
159576,0
247665,1
134904,1
404971,0
224255,0
322912,1
281450,1
207126,1
204794,0
351415,1
183280,1
196887,1
370992,0
368691,1
237382,0
287021,1
199291,0
119575,1
357541,0
205854,0
308628,0
343249,1
253345,1
312933,0
453254,0
433317,1
373291,0
253256,1
236611,1
224534,1
322687,1
183727,0
341088,1
398161,1
437001,0
241483,0
408434,0
320065,1
371453,1
442969,0
449311,1
413021,1
262519,0
131448,1
272166,1
192690,1
265984,0
338989,1
432012,1
245894,0
419756,0
330654,0
102789,0
102795,1
278264,0
269940,0
428535,1
206104,0
454888,1
259875,1
192125,1
382478,1
293589,1
355482,0
443745,0
328006,1
343488,1
394194,0
276000,0
183482,0
351433,1
203543,1
128271,0
297580,1
355472,0
206616,1
378664,1
385292,1
246188,0
447499,0
187777,1
307548,0
191162,1
188419,0
353789,1
349032,1
415970,1
141231,1
100936,1
141665,1
177763,0
274235,1
342914,0
163931,1
185241,0
287752,1
342654,1
196142,1
200519,1
318781,1
264959,1
286507,0
195374,1
209447,1
277210,0
312805,1
388579,1
288868,0
302489,1
397787,0
273273,0
178813,0
382125,1
251458,1
185155,0
184535,1
247411,0
216057,0
207287,0
214400,1
121071,1
272125,1
426747,0
273238,1
282029,0
384122,0
297617,1
161301,1
148363,1
302576,0
126241,0
281928,0
310621,0
177000,0
259945,1
167369,0
427609,0
156850,1
438083,0
411212,0
306958,0
275359,1
437436,1
388011,0
376885,0
377575,1
138027,0
291301,0
177471,1
105117,1
236847,1
393303,0
279234,1
178834,0
368105,1
220148,1
271759,0
447830,0
279274,0
338155,1
118282,0
190622,0
320685,0
375149,1
380919,0
221394,1
136510,0
217837,1
397642,0
226002,0
203651,0
443878,1
111548,1
130182,0
173627,0
429723,1
208366,1
245856,0
346681,1
296986,0
113437,1
364841,1
402700,1
324357,1
404123,1
267789,0
173979,0
133488,0
427696,0
123902,1
152868,1
337906,0
209662,1
381305,1
170524,0
112580,1
234624,0
428768,1
182970,0
118593,0
380777,0
199807,1
433700,1
426346,1
252476,0
139122,1
341382,1
128814,1
130315,0
302624,1
116016,0
384927,1
327922,1
126571,1
120427,1
173765,1
438489,0
436768,1
448867,1
278736,1
443575,1
406517,0
186022,1
354878,0
387857,1
214578,0
142605,1
263327,0
274210,0
413177,0
311592,0
115137,1
449172,1
449542,0
193257,0
435011,0
326312,1
236106,1
258774,1
138149,0
247812,1
189575,1
240374,1
125350,0
365669,1
441269,1
219546,0
217532,0
207045,1
382556,0
119389,1
395254,1
196822,0
310094,1
324380,0
453621,1
431118,1
108902,1
314537,0
178829,1
105379,0
165110,1
314456,1
156220,0
188237,1
200142,0
141453,1
215544,0
394745,1
151102,1
242096,1
321072,0
346834,0
203206,1
324991,0
214979,1
292956,1
195221,1
291013,1
109562,1
194840,0
390560,0
266084,1
405783,1
301513,1
167823,0
249775,0
190653,1
194971,0
255209,0
386277,0
242580,1
373971,0
303435,0
276295,0
239548,1
113194,0
415335,0
223816,1
389593,1
237546,0
448951,1
164225,1
225422,1
449034,1
287502,0
205685,1
258105,0
142489,1
237384,1
213653,1
320526,0
352880,1
392048,0
107443,1
414103,1
279000,0
317740,1
430138,1
270056,1
187560,0
146784,0
313464,1
451829,0
143916,0
262212,0
188966,0
187316,1
243640,1
368654,1
224883,0
325888,1
262118,0
218561,0
361519,0
115141,0
440935,0
429213,0
345264,0
286968,0
409865,1
399414,1
448775,0
299044,0
195427,1
191202,0
395592,1
426319,1
426901,0
228662,0
247990,1
113635,1
346189,0
401693,0
385926,1
115319,0
181716,0
456034,1
215616,1
101291,0
119268,1
144652,0
285064,0
415022,0
270655,0
120911,0
438159,1
224826,0
305264,0
361427,0
189542,0
125457,0
442022,1
116488,1
423575,0
232601,0
130234,0
418478,0
262833,0
236573,0
296767,0
164254,0
168938,1
456176,0
442249,1
173293,0
214442,0
198770,1
132979,0
222370,1
421526,0
430286,0
431367,1
290211,1
275213,1
230500,0
212657,0
192709,0
284036,0
249512,1
390948,0
446188,0
417898,0
101564,1
411488,0
393915,0
417112,0
362623,1
285118,0
206620,0
194055,1
155236,1
388518,1
255264,1
247137,1
135818,0
369010,0
262314,1
307307,0
290951,0
170885,0
237310,1
160548,0
198961,1
159062,1
420547,0
338728,1
295300,1
433720,1
154497,0
357185,0
322876,0
419761,0
246867,0
366847,1
132332,0
261330,0
113560,0
222606,1
142252,1
417127,0
430490,0
198993,1
207853,1
198675,1
411241,0
436798,1
175940,0
424991,0
443194,1
201859,0
441445,1
389453,0
161340,1
440375,1
423253,1
153323,1
169665,1
132088,0
421740,0
293753,1
352986,1
342064,1
187084,0
338286,1
250858,1
191713,0
288995,0
355921,0
133675,1
177213,1
163170,1
124047,0
447037,1
186107,1
337012,1
198825,0
194316,1
201708,1
